Scn1,Sc2,Sc3,sc4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.43,4.43,4.43,4.43
7.92,7.92,7.92,7.92
1.07,1.07,1.07,1.07
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0,0,0,0
0,0,0,0
20.04,20.04,20.04,20.04
23.22,23.22,23.22,23.22
0,0,0,0
31.15,31.15,31.15,31.15
7.68,7.68,7.68,7.68
1.38,1.38,1.38,1.38
4.89,4.89,4.89,4.89
14.49,14.49,14.49,14.49
0.43,0.43,0.43,0.43
3.61,3.61,3.61,3.61
14.44,14.44,14.44,14.44
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,5,5,5
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.38,1.38,1.38,1.38
2.55,2.55,2.55,2.55
1.48,1.48,1.48,1.48
0,0,0,0
0,0,0,0
0,0,0,0
1.76,1.76,1.76,1.76
0,0,0,0
0.44,0.44,0.44,0.44
0,0,0,0
0,0,0,0
0.43,0.43,0.43,0.43
0,0,0,0
5.13,5.13,5.13,5.13
1.21,1.21,1.21,1.21
0,0,0,0
0,0,0,0
0,0,0,0
1.81,1.81,1.81,1.81
3.13,3.13,3.13,3.13
1.75,1.75,1.75,1.75
29.41,29.41,29.41,29.41
14.34,14.34,14.34,14.34
7.99,7.99,7.99,7.99
8.02,8.02,8.02,8.02
2.6,2.6,2.6,2.6
0,0,0,0
4.7,4.7,4.7,4.7
8.64,8.64,8.64,8.64
29.8,29.8,29.8,29.8
0.56,0.56,0.56,0.56
3.74,3.74,3.74,3.74
0,0,0,0
0,0,0,0
0.28,0.28,0.28,0.28
0,0,0,0
0,0,0,0
0.93,0.93,0.93,0.93
0.33,0.33,0.33,0.33
0,0,0,0
2.38,2.38,2.38,2.38
2.48,2.48,2.48,2.48
3.79,3.79,3.79,3.79
0,0,0,0
9.29,9.29,9.29,9.29
1.97,1.97,1.97,1.97
0,0,0,0
-99,-99,-99,-99
0,0,0,0
7.52,7.52,7.52,7.52
1.68,1.68,1.68,1.68
23.78,23.78,23.78,23.78
30.77,30.77,30.77,30.77
0.2,0.2,0.2,0.2
0.98,0.98,0.98,0.98
14.41,14.41,14.41,14.41
5,5,5,5
0,0,0,0
0,0,0,0
0,0,0,0
