ID,NAME,LAT,LONG,ELEVATION
346,45-9583333_9-0208333p,45.96,9.02,1247.8
347,45-9583333_9-0416667p,45.96,9.04,1094.2
348,45-9583333_9-0625000p,45.96,9.06,786.8
349,45-9583333_9-0833333p,45.96,9.08,627.2
350,45-9583333_9-1041667p,45.96,9.1,696.5
351,45-9791667_6-9375000p,45.98,6.94,1791.8
352,45-9791667_6-9583333p,45.98,6.96,2585.5
353,45-9791667_6-9791667p,45.98,6.98,2905.5
354,45-9791667_7-0000000p,45.98,7,3276.2
355,45-9791667_7-0208333p,45.98,7.02,3134
356,45-9791667_7-0416667p,45.98,7.04,2772
357,45-9791667_7-0625000p,45.98,7.06,2662.5
358,45-9791667_7-0833333p,45.98,7.08,1983.2
359,45-9791667_7-1041667p,45.98,7.1,1437
360,45-9791667_7-1250000p,45.98,7.13,1979.2
361,45-9791667_7-1458333p,45.98,7.15,2074
362,45-9791667_7-1666667p,45.98,7.17,1824.5
363,45-9791667_7-1875000p,45.98,7.19,1535
364,45-9791667_7-2083333p,45.98,7.21,2085
365,45-9791667_7-2291667p,45.98,7.23,2401
366,45-9791667_7-2500000p,45.98,7.25,3344.2
367,45-9791667_7-2708333p,45.98,7.27,3352
368,45-9791667_7-2916667p,45.98,7.29,2922
369,45-9791667_7-3125000p,45.98,7.31,3287.5
370,45-9791667_7-3333333p,45.98,7.33,2180
371,45-9791667_7-3541667p,45.98,7.35,2075
372,45-9791667_7-3750000p,45.98,7.38,3274.8
373,45-9791667_7-3958333p,45.98,7.4,3287.5
374,45-9791667_7-4166667p,45.98,7.42,3264
375,45-9791667_7-4375000p,45.98,7.44,3450.5
376,45-9791667_7-4583333p,45.98,7.46,3118.2
377,45-9791667_7-4791667p,45.98,7.48,3099.5
378,45-9791667_7-5000000p,45.98,7.5,3035.2
379,45-9791667_7-5208333p,45.98,7.52,2937
380,45-9791667_7-5416667p,45.98,7.54,3214.5
381,45-9791667_7-5625000p,45.98,7.56,3320.8
382,45-9791667_7-5833333p,45.98,7.58,3431.2
383,45-9791667_7-6041667p,45.98,7.6,3379
384,45-9791667_7-6250000p,45.98,7.63,3227
385,45-9791667_7-6458333p,45.98,7.65,3558
386,45-9791667_7-6666667p,45.98,7.67,3140
387,45-9791667_7-6875000p,45.98,7.69,2906.8
388,45-9791667_7-7083333p,45.98,7.71,2782.8
389,45-9791667_7-7291667p,45.98,7.73,2602
390,45-9791667_7-7500000p,45.98,7.75,2615.5
391,45-9791667_7-7708333p,45.98,7.77,2705.2
392,45-9791667_7-7916667p,45.98,7.79,2758.2
393,45-9791667_7-8125000p,45.98,7.81,2916.5
394,45-9791667_7-8333333p,45.98,7.83,3244
395,45-9791667_7-8541667p,45.98,7.85,3388.5
396,45-9791667_7-8750000p,45.98,7.88,3336
397,45-9791667_7-8958333p,45.98,7.9,2538
398,45-9791667_7-9166667p,45.98,7.92,1947.5
399,45-9791667_7-9375000p,45.98,7.94,1666.5
400,45-9791667_7-9583333p,45.98,7.96,1636.8
401,45-9791667_7-9791667p,45.98,7.98,1896
402,45-9791667_8-0000000p,45.98,8,2101
403,45-9791667_8-0208333p,45.98,8.02,1432.5
404,45-9791667_8-0416667p,45.98,8.04,1200.5
405,45-9791667_8-7708333p,45.98,8.77,620
406,45-9791667_8-7916667p,45.98,8.79,641.8
407,45-9791667_8-8125000p,45.98,8.81,645
408,45-9791667_8-8333333p,45.98,8.83,299.2
409,45-9791667_8-8541667p,45.98,8.85,414
410,45-9791667_8-8750000p,45.98,8.88,253.2
411,45-9791667_8-8958333p,45.98,8.9,333.2
412,45-9791667_8-9166667p,45.98,8.92,430.2
413,45-9791667_8-9375000p,45.98,8.94,488.5
414,45-9791667_8-9583333p,45.98,8.96,313.5
415,45-9791667_8-9791667p,45.98,8.98,740
416,45-9791667_9-0000000p,45.98,9,977
417,45-9791667_9-0208333p,45.98,9.02,837.8
418,45-9791667_9-0416667p,45.98,9.04,820.5
419,45-9791667_9-0625000p,45.98,9.06,743.2
420,46-0000000_6-8958333p,46,6.9,2121.5
